114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;пов. на Жуково;-;5;19:40 - 21:45;20;;19:42;;21:42;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;2;07:45 - 10:05;15;;07:48;;10:03;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;3;10:15 - 16:30;20;;10:18;;16:28;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;4;16:45 - 19:35;15;;16:48;;19:33;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;5;19:45 - 21:50;20;;19:48;;21:48;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;2;07:45 - 10:05;15;;07:48;;10:03;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;3;10:15 - 16:30;20;;10:18;;16:28;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;4;16:45 - 19:35;15;;16:48;;19:33;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;5;19:45 - 21:50;20;;19:48;;21:48;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №1;-;2;07:50 - 10:10;15;;07:51;;10:06;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №1;-;3;10:20 - 16:35;20;;10:21;;16:31;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №1;-;4;16:50 - 19:40;15;;16:51;;19:36;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №1;-;5;19:50 - 21:55;20;;19:51;;21:51;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №2;-;2;07:50 - 10:10;15;;07:55;;10:10;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №2;-;3;10:20 - 16:35;20;;10:25;;16:35;
